epsilon,frame_errors,decoded_words,frame_error_rate,runtime_seconds
0.10000000000000001,353,552,0.63949275362318836,0.023535108999999999
0.089999999999999997,347,636,0.54559748427672961,0.014460864
0.080000000000000002,347,843,0.41162514827995256,0.016176953000000001
0.070000000000000007,340,1093,0.31107044830741082,0.017397481999999999
0.059999999999999998,327,1917,0.1705790297339593,0.023521050000000002
0.050000000000000003,313,3298,0.094906003638568825,0.032076656000000002
0.040000000000000001,308,8455,0.036428149024246008,0.064117840999999995
0.029999999999999999,303,26086,0.011615425898949629,0.16296928699999999
0.02,300,133361,0.0022495332218564648,0.72697232300000003
