epsilon,frame_errors,decoded_words,frame_error_rate,runtime_seconds
0.089999999999999997,337,1056,0.3191287878787879,0.010934203999999999
0.080000000000000002,333,1519,0.21922317314022383,0.011405813000000001
0.070000000000000007,325,2160,0.15046296296296297,0.013135552
0.059999999999999998,315,3445,0.091436865021770689,0.017251849999999999
0.050000000000000003,311,6929,0.044883821619281283,0.027678463
0.040000000000000001,302,14262,0.021175150750245408,0.046822260999999997
0.029999999999999999,301,38912,0.0077354029605263162,0.107619494
0.02,301,138342,0.0021757673013257,0.31284668700000001
0.01,300,340225,0.00088176941729737669,0.55839581599999999
0.0090000000000000011,300,419697,0.00071480139243311242,0.654726417
0.0080000000000000002,300,373999,0.00080214118219567427,0.55540775799999997
0.0070000000000000001,300,408692,0.00073404911277930572,0.57597257599999996
0.0060000000000000001,300,471789,0.00063587747912732177,0.62908746199999999
0.0050000000000000001,300,493084,0.00060841560464342795,0.62019469800000004
0.0040000000000000001,300,568049,0.00052812345413863948,0.67573495299999997
0.0030000000000000001,300,592720,0.000506141179646376,0.68150591000000005
0.002,300,658277,0.00045573519961961302,0.75101987800000003
0.001,300,581932,0.00051552415058804123,0.65137793899999996
