epsilon,frame_errors,decoded_words,frame_error_rate,runtime_seconds
0.089999999999999997,338,1130,0.29911504424778762,0.019146789000000001
0.080000000000000002,331,1465,0.22593856655290101,0.010608344
0.070000000000000007,325,2086,0.15580057526366251,0.012597733
0.059999999999999998,321,3394,0.094578668238067182,0.016479381000000001
0.050000000000000003,309,7197,0.042934556065027094,0.027384414999999999
0.040000000000000001,303,16817,0.018017482309567699,0.053388909999999998
0.029999999999999999,301,49823,0.006041386508239167,0.13201816699999999
0.02,301,270393,0.0011131944983782864,0.59699031800000002
0.01,300,4448473,6.7438871720700561e-05,7.2651179959999999
0.0090000000000000011,300,7103444,4.2233035130564833e-05,11.082452087
0.0080000000000000002,300,10823039,2.7718647230228035e-05,16.057676313999998
0.0070000000000000001,300,17941129,1.6721355718472342e-05,25.240634934999999
0.0060000000000000001,300,37327293,8.0370146316262476e-06,49.741637552
0.0050000000000000001,300,68589370,4.3738555989069443e-06,86.332957734000004
0.0040000000000000001,167,100000000,1.6700000000000001e-06,119.033230743
