epsilon,frame_errors,decoded_words,frame_error_rate,runtime_seconds
0.089999999999999997,338,1049,0.32221163012392756,0.0096143949999999995
0.080000000000000002,326,1395,0.23369175627240144,0.010731874000000001
0.070000000000000007,321,2262,0.14190981432360741,0.013612842
0.059999999999999998,320,3724,0.085929108485499464,0.018634448000000001
0.050000000000000003,305,6453,0.047264838059817141,0.025826623999999999
0.040000000000000001,302,15306,0.019730824513262774,0.050547428999999998
0.029999999999999999,301,52726,0.0057087584872738311,0.144839881
0.02,301,228007,0.0013201349081387852,0.51487970199999999
0.01,300,2194361,0.00013671405935486458,3.593637116
0.0090000000000000011,300,3084437,9.7262482585963017e-05,4.8180629709999998
0.0080000000000000002,300,4139043,7.2480522671545093e-05,6.1472152519999996
0.0070000000000000001,300,4242547,7.0712239605124e-05,5.9815956440000004
0.0060000000000000001,300,5479408,5.4750440193539154e-05,7.3059838670000001
0.0050000000000000001,300,7547259,3.9749530259926153e-05,9.5109352900000008
0.0040000000000000001,300,9065994,3.3090690331363555e-05,10.79201853
0.0030000000000000001,300,9088940,3.3007149348548893e-05,10.436888949
0.002,300,8667995,3.4610079955053045e-05,9.8433705850000006
0.001,300,9777781,3.0681808070767797e-05,10.902022343000001
