epsilon,frame_errors,decoded_words,frame_error_rate,runtime_seconds
0.10000000000000001,353,552,0.63949275362318836,0.023535108999999999
0.089999999999999997,347,636,0.54559748427672961,0.014460864
0.080000000000000002,347,843,0.41162514827995256,0.016176953000000001
0.070000000000000007,340,1093,0.31107044830741082,0.017397481999999999
0.059999999999999998,327,1917,0.1705790297339593,0.023521050000000002
0.050000000000000003,313,3298,0.094906003638568825,0.032076656000000002
0.040000000000000001,308,8455,0.036428149024246008,0.064117840999999995
0.029999999999999999,303,26086,0.011615425898949629,0.16296928699999999
0.02,300,133361,0.0022495332218564648,0.72697232300000003
0.01,300,2405937,0.00012469154429230691,10.378326226
0.01,300,2295688,0.00013067977878527048,9.9166498910000005
0.0090000000000000011,300,3417485,8.7783852745513142e-05,14.157725247
0.0080000000000000002,300,4823401,6.2196777750802806e-05,19.011286556999998
0.0070000000000000001,300,8868579,3.3827290708015345e-05,33.045564271000003
0.0060000000000000001,300,17207064,1.7434700074341562e-05,59.823420757999997
0.0050000000000000001,300,36676460,8.1796334760770253e-06,117.350133661
0.0040000000000000001,300,89661571,3.3459150520572522e-06,259.88434525500003
0.0030000000000000001,92,100000000,9.1999999999999998e-07,254.80427589600001
0.002,23,100000000,2.2999999999999999e-07,216.88207568799999
