epsilon,frame_errors,decoded_words,frame_error_rate,runtime_seconds
0.089999999999999997,353,714,0.49439775910364148,0.026248792999999999
0.080000000000000002,342,857,0.39906651108518088,0.016365693000000001
0.070000000000000007,338,1229,0.27502034174125306,0.019795659
0.059999999999999998,323,1856,0.17403017241379309,0.023606994999999999
0.050000000000000003,316,3011,0.10494852208568582,0.030426338000000001
0.040000000000000001,303,7656,0.039576802507836989,0.060138756000000002
0.029999999999999999,303,21483,0.014104175394497976,0.13973707199999999
0.02,300,65652,0.0045695485286053735,0.37080401899999998
0.01,300,194751,0.001540428547221837,0.87063849100000001
0.0090000000000000011,300,207263,0.0014474363489865533,0.89141727900000001
0.0080000000000000002,300,206111,0.0014555263911193482,0.84443457899999996
0.0070000000000000001,300,238721,0.00125669714855417,0.92240974600000003
0.0060000000000000001,300,269447,0.0011133915018537968,0.97418845200000004
0.0050000000000000001,300,271602,0.0011045574038482779,0.90020261899999998
0.0040000000000000001,300,313475,0.00095701411595821044,0.93677823100000002
0.0030000000000000001,300,362650,0.0008272438990762443,0.95076645599999998
0.002,300,432131,0.00069423392443495149,0.96292261300000004
0.001,300,566201,0.00052984717441332673,1.003397171
